Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
330109-4880941.pdf,TREMFYA,>=18,"Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin. The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. Documentation is required for approval. - A preferred ustekinumab product - TWO additional preferred products o A preferred adalimumab product OR Enbrel o Rinvoq o Otezla",2,1,No,Yes,• Tremfya (guselkumab) 100 mg/mL prefilled syringe/One-press injector: o 1 syringe/injector per 56 days o Exception limit: 2 syringes/injectors per 28 days • Tremfya (guselkumab) 200 mg/2 mL prefilled syringe/pen: o 1 syringe/pen per 28 days o Exception limit: 6 syringes/pens per 56 days,Dermatologist,12,12,Yes,"Authorization of 12 months may be granted for all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: • Reduction in body surface area (BSA) affected from baseline • Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
148593-4960549.pdf,STELARA,>=6,"For the treatment of chronic severe plaque psoriasis, member has a contraindication, intolerance or ineffective response to all of the following available equivalent alternative targeted immune modulators (one-month trial): both Ilumya, Stelara, and either Avsola, Inflectra, or Renflexis. For members 6 years of age or older who have previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for the treatment of moderate to severe plaque psoriasis; or For members 6 years of age or older for the treatment of moderate to severe plaque psoriasis when any of the following criteria is met: At least 3% of body surface area (BSA) is affected and the member meets either of the following criteria: Has had an inadequate response or contraindication to topical agents (e.g., corticosteroids, calcipotriene, tazarotene), phototherapy (e.g., UVB, PUVA), or pharmacologic treatment with methotrexate, cyclosporine, or acitretin; or Has had an inadequate response or contraindication to at least one systemic agent (e.g., methotrexate, cyclosporine, or acitretin (see Appendix);",2,1,No,No,No,NA,Unspecified,Unspecified,Yes,Unspecified,75
305252-5002815.pdf,TREMFYA,>=18,No,No,No,No,Yes,No,NA,Unspecified,NA,NA,NA,100
176207-4867884.pdf,TREMFYA,>=18,"At least 3% of body surface area (BSA) is affected and the member meets either of the following criteria: Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin. Member has a clinical reason to avoid pharmacologic treatment with methotrexate, cyclosporine, and acitretin (see Appendix).",No,1,No,Yes,No,Dermatologist,12,12,Yes,"who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: Reduction in body surface area (BSA) affected from baseline Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",75
324603-4962713.pdf,STELARA,>=6,"Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin.",No,1,No,Yes,No,Dermatologist,12,12,Yes,"Authorization of 12 months may be granted for all members 6 years of age and older (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: Reduction in body surface area (BSA) affected from baseline Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",75
378692-5003182.pdf,STELARA,>=6,"The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin.",1,1,No,Yes,• Stelara (ustekinumab) 130 mg/26 mL singledose vial: 4 vials (1 dose) • Stelara (ustekinumab) subcutaneous injection 45 mg/0.5 mL single-dose vial/prefilled syringe 1 vial/syringe per 84 days Exception limit: 2 vials/syringes per 28 days • Stelara (ustekinumab) subcutaneous injection 90 mg/mL prefilled syringe 1 syringe per 56 days Exception limit: 2 syringes per 28 days,Dermatologist,12,12,Yes,"Authorization of 12 months may be granted for all members 6 years of age and older (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: • Reduction in body surface area (BSA) affected from baseline • Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",75
378792-5004240.pdf,TREMFYA,>=18,"Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin.",No,1,No,Yes,• Tremfya (guselkumab) 100 mg/mL prefilled syringe/One-press injector: 1 syringe/injector per 56 days o Exception limit: 2 syringes/injectors per 28 days o • Tremfya (guselkumab) 200 mg/2 mL prefilled syringe/pen: 1 syringe/pen per 28 days o Exception limit: 6 syringes/pens per 56 days o,Dermatologist,12,12,Yes,Continuation of Therapy Plaque psoriasis (PsO)1-6 Authorization of 12 months may be granted for all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: • Reduction in body surface area (BSA) affected from baseline. Continuation requests Chart notes or medical record documentation of decreased body surface area (BSA) affected and/or improvement in signs and symptoms.,75
250819-3621812.pdf,STELARA,>=6,"Phototherapy (PUVA (psoralen ultraviolet type A), UVB (ultraviolet type B)) has been ineffective. Documented inadequate response, intolerance, or contraindication, to at least one oral systemic therapy such as methotrexate, or cyclosporine for 3 months or more",No,1,Yes,Yes,"Weight <100kg: One, 45mg syringe per 28 days for initial 2 months; then one, 45mg syringe per 84 days; Weight >100kg: One, 90mg syringe per 28 days for initial 2 months; then one, 90mg syringe per 84 days",Appropriate Specialist,6,6,Yes,Documentation indicating member has shown improvement in signs and symptoms of disease,75
250819-3621812.pdf,TREMFYA,>=18,NA,No,No,No,Yes,Two syringes or injectors in the initial 28 days then one syringe or injector every 8 weeks,Appropriate Specialist,6,6,Yes,Documentation indicating member has shown improvement in signs and symptoms of disease,75
296961-4569911.pdf,STELARA,>=6,"Biologic response modifiers (BRMs), also known as immunomodulators, are the class of medications that target the disease-causing mechanism. They are used in autoimmune diseases as first-line medications or after the failure of conventional agents. maximally tolerated doses (TWO months of each) unless contraindicated or clinically significant adverse effects are experienced (document drug, date, and duration of trial): i. Topical corticosteroids ii. Acitretin iii. Topical Vitamin D analogs (e.g., calcitriol) iv. Calcineurin inhibitors (e.g., tacrolimus or pimecrolimus) v. Topical retinoic acid derivatives vi. Phototherapy",No,5,Yes,Yes,Reference Formulary for drug specific quantity level limits,NA,6,NA,NA,NA,75
